tile,target,LOCAL,GLOBAL,FOREST,TARGET
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Clouds,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Marine Water,0.0,0.0,3509.7838237882224,320310.4193583807
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Sediment-Laden Water,0.0,190824.21610917264,0.0,530376.8825537935
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Foam,0.0,0.0,0.0,2392.6660237134556
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Turbid Water,0.0,0.0,0.251929455847625,26476.66137678332
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Shallow Water,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Waves,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Cloud Shadows,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Wakes,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Mixed Water,0.0,0.0,0.0,0.0
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Marine Debris,4147.337939254769,4147.337939254769,4114.875771038062,4147.337939253734
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Dense Sargassum,0.0,0.0,0.0,0.0
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Sparse Sargassum,0.0,0.0,0.0,0.0
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Natural Organic Material,653.3533542484826,653.3533542484826,653.3533542484826,653.3533542498036
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Ship,0.0,0.0,0.0,0.0
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Clouds,0.0,0.0,0.0,0.0
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Marine Water,698.4500050172861,598.450005017286,0.0,3996.9775202028395
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Sediment-Laden Water,0.0,0.0,0.0,0.0
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Foam,0.0,0.0,0.0,0.0
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Turbid Water,0.0,0.0,0.0,0.0
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Shallow Water,2611.319177000894,2611.319177000894,1616.6161713144024,4395.424858691287
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Waves,0.0,0.0,0.0,0.0
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Cloud Shadows,0.0,0.0,0.0,0.0
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Wakes,0.0,0.0,0.0,0.0
